,Type,Onset,Duration
380,Mic1,380.446,0.02775
381,Mic1,381.446,0.0285
382,Mic1,382.446,0.0285
383,Mic1,383.44575,0.0285
384,Mic1,384.44575,0.0285
385,Mic1,385.44575,0.02875
386,Mic1,386.44575,0.0285
387,Mic1,387.44575,0.02775
388,Mic1,388.44575,0.0285
389,Mic1,389.44575,0.02875
390,Mic1,390.44575,0.0285
391,Mic1,391.44575,0.02875
392,Mic1,392.44575,0.0285
393,Mic1,393.44575,0.0285
394,Mic1,394.44575,0.02775
395,Mic1,395.44575,0.0285
396,Mic1,396.44575,0.02775
397,Mic1,397.44575,0.02875
398,Mic1,398.44575,0.0285
399,Mic1,399.44575,0.02775
400,Mic1,400.44575,0.0285
401,Mic1,401.44575,0.0285
402,Mic1,402.44575,0.0285
403,Mic1,403.44575,0.0285
404,Mic1,404.44575,0.0285
405,Mic1,405.44575,0.0285
406,Mic1,406.44575,0.0285
407,Mic1,407.44575,0.02775
408,Mic1,408.44575,0.0285
409,Mic1,409.44575,0.0285
410,Mic1,410.4455,0.0285
411,Mic1,411.4455,0.0285
412,Mic1,412.4455,0.0285
413,Mic1,413.4455,0.02875
414,Mic1,414.4455,0.02875
415,Mic1,415.4455,0.02875
416,Mic1,416.4455,0.02875
417,Mic1,417.4455,0.0285
418,Mic1,418.4455,0.0285
419,Mic1,419.4455,0.0285
420,Mic1,420.4455,0.0285
421,Mic1,421.4455,0.0285
422,Mic1,422.4455,0.0285
423,Mic1,423.4455,0.0285
424,Mic1,424.4455,0.0285
425,Mic1,425.4455,0.0285
426,Mic1,426.4455,0.02775
427,Mic1,427.4455,0.0285
428,Mic1,428.4455,0.02775
429,Mic1,429.4455,0.0285
430,Mic1,430.4455,0.0285
431,Mic1,431.4455,0.02775
432,Mic1,432.4455,0.0285
433,Mic1,433.4455,0.0285
434,Mic1,434.4455,0.0285
435,Mic1,435.4455,0.0285
436,Mic1,436.44525,0.02875
437,Mic1,437.44525,0.0285
438,Mic1,438.44525,0.02875
439,Mic1,439.44525,0.02875
440,Mic1,440.44525,0.02775
441,Mic1,441.44525,0.02775
442,Mic1,442.44525,0.02875
443,Mic1,443.44525,0.0285
444,Mic1,444.44525,0.02775
445,Mic1,445.44525,0.0285
446,Mic1,446.44525,0.02775
447,Mic1,447.44525,0.0285
448,Mic1,448.44525,0.0285
449,Mic1,449.44525,0.0285
450,Mic1,450.44525,0.0285
451,Mic1,451.44525,0.0285
452,Mic1,452.44525,0.0285
453,Mic1,453.44525,0.0285
454,Mic1,454.44525,0.0285
455,Mic1,455.44525,0.0285
456,Mic1,456.44525,0.02775
457,Mic1,457.44525,0.0285
458,Mic1,458.44525,0.0285
459,Mic1,459.44525,0.0285
460,Mic1,460.44525,0.0285
461,Mic1,461.44525,0.0285
462,Mic1,462.445,0.0285
463,Mic1,463.445,0.0285
