Type,Onset,Duration
Opto1,231.03675,0.228
Opto1,231.304,0.228
Opto1,231.571,0.228
Opto1,232.3055,0.21125
Opto1,232.5725,0.21125
Opto1,232.83975,0.22775
Opto1,233.10675,0.228
Opto1,233.37375,0.228
Opto1,233.64075,0.228
Opto1,233.92475,0.21125
Opto1,234.19175,0.21125
Opto1,234.45875,0.228
Opto1,234.72575,0.228
Opto1,235.00975,0.21125
Opto1,235.27675,0.21125
Opto1,235.54375,0.21125
Opto1,235.81075,0.21125
Opto1,236.078,0.228
Opto1,236.79575,0.228
Opto1,237.06275,0.228
Opto1,237.32975,0.228
Opto1,238.06425,0.21125
Opto1,238.3315,0.21125
Opto1,238.5985,0.228
Opto1,238.8655,0.228
Opto1,239.1325,0.228
Opto1,239.39975,0.228
Opto1,239.6835,0.21125
Opto1,239.9505,0.228
Opto1,240.2175,0.228
Opto1,240.48475,0.228
Opto1,241.2025,0.228
Opto1,241.4695,0.228
Opto1,241.75325,0.21125
Opto1,242.0205,0.22775
Opto1,242.2875,0.228
Opto1,242.5545,0.228
Opto1,242.8215,0.228
Opto1,243.1055,0.21125
Opto1,243.3725,0.21125
Opto1,243.6395,0.228
Opto1,243.9065,0.228
Opto1,244.1735,0.22825
Opto1,244.4575,0.21125
Opto1,244.7245,0.21125
Opto1,244.9915,0.21125
Opto1,245.25875,0.228
Opto1,245.52575,0.228
Opto1,245.79275,0.228
Opto1,246.0765,0.21125
Opto1,246.34375,0.21125
Opto1,246.61075,0.21125
Opto1,246.87775,0.228
Opto1,247.14475,0.228
Opto1,247.412,0.228
Opto1,247.679,0.228
Opto1,247.96275,0.21125
Opto1,248.23,0.21125
Opto1,248.497,0.228
Opto1,248.764,0.228
Opto1,249.031,0.228
Opto1,249.315,0.21125
Opto1,250.03275,0.21125
Opto1,250.29975,0.228
Opto1,250.56675,0.228
Opto1,250.83375,0.228
Opto1,251.101,0.228
Opto1,251.38475,0.21125
Opto1,251.65175,0.21125
Opto1,251.919,0.22775
Opto1,252.186,0.228
Opto1,252.453,0.228
Opto1,252.72,0.228
Opto1,253.004,0.21125
Opto1,253.271,0.228
Opto1,253.538,0.228
Opto1,253.805,0.228
Opto1,254.07225,0.228
Opto1,254.356,0.21125
Opto1,254.623,0.228
Opto1,254.89,0.228
Opto1,255.15725,0.228
Opto1,255.42425,0.228
Opto1,255.69125,0.228
Opto1,255.975,0.2115
Opto1,256.24225,0.21125
Opto1,256.50925,0.228
Opto1,256.77625,0.228
Opto1,257.04325,0.22825
Opto1,257.3105,0.228
Opto1,257.59425,0.21125
Opto1,257.86125,0.21125
Opto1,258.1285,0.228
Opto1,258.3955,0.228
Opto1,258.6625,0.228
Opto1,258.9295,0.228
Opto1,259.2135,0.21125
Opto1,259.93125,0.21125
Opto1,260.19825,0.228
Opto1,260.46525,0.228
Opto1,260.73225,0.22825
Opto1,260.9995,0.228
Opto1,261.28325,0.21125
Opto1,261.55025,0.228
Opto1,262.268,0.228
Opto1,262.53525,0.228
Opto1,262.80225,0.228
Opto1,263.52,0.228
Opto1,263.80375,0.21125
Opto1,264.07075,0.228
Opto1,264.338,0.228
Opto1,264.605,0.228
Opto1,264.872,0.228
Opto1,265.15575,0.2115
Opto1,265.423,0.21125
Opto1,265.69,0.21125
Opto1,265.957,0.228
Opto1,266.224,0.22825
Opto1,266.49125,0.228
Opto1,266.75825,0.228
Opto1,267.042,0.21125
Opto1,267.30925,0.21125
Opto1,267.57625,0.228
Opto1,267.84325,0.228
Opto1,268.11025,0.22825
Opto1,268.39425,0.21125
Opto1,269.112,0.21125
Opto1,269.379,0.21125
Opto1,269.646,0.228
Opto1,269.913,0.22825
Opto1,270.631,0.228
Opto1,270.91475,0.21125
Opto1,271.18175,0.21125
Opto1,271.44875,0.228
Opto1,271.71575,0.22825
Opto1,271.983,0.228
Opto1,272.25,0.228
Opto1,272.53375,0.2115
Opto1,272.801,0.21125
Opto1,273.068,0.228
Opto1,273.335,0.228
Opto1,274.05275,0.228
Opto1,274.78725,0.21125
Opto1,275.0545,0.21125
Opto1,275.3215,0.21125
Opto1,275.5885,0.21125
Opto1,275.8555,0.228
Opto1,276.1225,0.22825
Opto1,276.38975,0.228
Opto1,276.6735,0.21125
Opto1,276.9405,0.2115
Opto1,277.65825,0.228
Opto1,277.9255,0.228
Opto1,278.1925,0.228
Opto1,278.47625,0.21125
Opto1,278.7435,0.21125
Opto1,279.02725,0.1945
Opto1,279.2775,0.21125
Opto1,279.5445,0.228
Opto1,279.82825,0.2115
Opto1,280.0955,0.21125
Opto1,280.3625,0.21125
Opto1,281.08025,0.21125
Opto1,281.34725,0.228
Opto1,281.6145,0.228
Opto1,281.8815,0.228
Opto1,282.16525,0.21125
Opto1,282.883,0.21125
